S.N.,SEGEMENT,PARTICULARS,BUDGETED AMOUNT FOR THE YEAR (NPR),VALUE,MONTH_NAME,YEAR
A.,CARD SEGMENT,Free Card Incentive (New Deal),9204000.0,920400.0,MAGH,2082
A.,CARD SEGMENT,Card Personalization Fee,3500000.0,350000.0,MAGH,2082
A.,CARD SEGMENT,Annual Subscription Fee,10000000.0,833333.3333333334,MAGH,2082
A.,CARD SEGMENT,ATM Management Fee,2491813.812,207651.15099999998,MAGH,2082
A.,CARD SEGMENT,Card renewal fee,10000000.0,833333.3333333334,MAGH,2082
A.,CARD SEGMENT,Transactional Revenue,7497702.446017699,633272.3044146677,MAGH,2082
A.,CARD SEGMENT,Incentive from UPI for Free Card,4384000.0,438400.0,MAGH,2082
A.,CARD SEGMENT,Transaction Fee Income (VISA - Global),25000000.0,2083333.3333333333,MAGH,2082
A.,CARD SEGMENT,Transaction Fee Income (VISA - Prabhu),15000000.0,0.0,MAGH,2082
A.,CARD SEGMENT,Transaction Fee Income (VISA - Commercial Bank 1),10000000.0,0.0,MAGH,2082
A.,CARD SEGMENT,Transaction Fee Income (VISA - IME PAY),900000.0,150000.0,MAGH,2082
A.,CARD SEGMENT,Net Revenue from Pulse Acquiring,3087879.8204601766,250813.52089809987,MAGH,2082
A.,CARD SEGMENT,Net Revenue from Mastercard Acquiring,352750.5066902655,28652.215023183493,MAGH,2082
A.,CARD SEGMENT,Visa Acquiring Fees (From SCT Network Membes) - Module Fee,1000000.0,500000.0,MAGH,2082
A.,CARD SEGMENT,Visa Acquiring Fees (From SCT Network Membes) - Transaction Fee,500000.0,49999.99999999999,MAGH,2082
B.,QR SEGMENT,Revenue from P2P Fund Transfer,720000.0,64988.25716250002,MAGH,2082
C,SMARTBANKING SEGMENT,Gross Revenue from SmartBanking,32535852.8,0.0,MAGH,2082
D,SMARTPAY SEGMENT,Gross Revenue from IBFT Project,13600000.0,1360000.0,MAGH,2082
E.,OTHER INCOME,Interest Income,1754506.1039999998,0.0,MAGH,2082
E.,OTHER INCOME,Revenue from DMS User Fee,600000.0,70000.0,MAGH,2082
E.,OTHER INCOME,PIN Change from POS/Cash Advance POS,1500000.0,0.0,MAGH,2082
E.,OTHER INCOME,API Suite,2000000.0,160000.0,MAGH,2082
E.,OTHER INCOME,Merchant POS (VISA and UPI),370000.0,0.0,MAGH,2082
E.,OTHER INCOME,SCT HUB - Real Time Processing (Powered by API),132000.0,0.0,MAGH,2082
E.,OTHER INCOME,SCT HUB - ATM Monitoring,600000.0,0.0,MAGH,2082
E.,OTHER INCOME,Cardless Withdrawal,1000000.0,0.0,MAGH,2082
E.,OTHER INCOME,SMS Gateway Maintenance Charge,120000.0,0.0,MAGH,2082
E.,OTHER INCOME,Other Income,838269.1790000001,77211.52983333335,MAGH,2082
A.,CARD SEGMENT,Card Sales,4836000.0,483600.0,FALGUN,2082
A.,CARD SEGMENT,Free Card Incentive (New Deal),9204000.0,920400.0,FALGUN,2082
A.,CARD SEGMENT,Card Personalization Fee,3500000.0,350000.0,FALGUN,2082
A.,CARD SEGMENT,Annual Subscription Fee,10000000.0,833333.3333333334,FALGUN,2082
A.,CARD SEGMENT,ATM Management Fee,2491813.812,207651.15099999998,FALGUN,2082
A.,CARD SEGMENT,Card renewal fee,10000000.0,833333.3333333334,FALGUN,2082
A.,CARD SEGMENT,Transactional Revenue,7497702.446017699,645937.750502961,FALGUN,2082
A.,CARD SEGMENT,Incentive from UPI for Free Card,4384000.0,438400.0,FALGUN,2082
A.,CARD SEGMENT,Transaction Fee Income (VISA - Global),25000000.0,2083333.3333333333,FALGUN,2082
A.,CARD SEGMENT,Transaction Fee Income (VISA - Prabhu),15000000.0,3000000.0,FALGUN,2082
A.,CARD SEGMENT,Transaction Fee Income (VISA - Commercial Bank 1),10000000.0,2000000.0,FALGUN,2082
A.,CARD SEGMENT,Transaction Fee Income (VISA - IME PAY),900000.0,150000.0,FALGUN,2082
A.,CARD SEGMENT,Net Revenue from Pulse Acquiring,3087879.8204601766,263354.19694300485,FALGUN,2082
A.,CARD SEGMENT,Net Revenue from Mastercard Acquiring,352750.5066902655,30084.82577434267,FALGUN,2082
A.,CARD SEGMENT,Visa Acquiring Fees (From SCT Network Membes) - Module Fee,1000000.0,0.0,FALGUN,2082
A.,CARD SEGMENT,Visa Acquiring Fees (From SCT Network Membes) - Transaction Fee,500000.0,66666.66666666667,FALGUN,2082
B.,QR SEGMENT,Revenue from P2P Fund Transfer,720000.0,68237.67002062502,FALGUN,2082
C,SMARTBANKING SEGMENT,Gross Revenue from SmartBanking,32535852.8,0.0,FALGUN,2082
D,SMARTPAY SEGMENT,Gross Revenue from IBFT Project,13600000.0,1632000.0,FALGUN,2082
E.,OTHER INCOME,Interest Income,1754506.1039999998,0.0,FALGUN,2082
E.,OTHER INCOME,Revenue from DMS User Fee,600000.0,70000.0,FALGUN,2082
E.,OTHER INCOME,PIN Change from POS/Cash Advance POS,1500000.0,0.0,FALGUN,2082
E.,OTHER INCOME,API Suite,2000000.0,200000.0,FALGUN,2082
E.,OTHER INCOME,Merchant POS (VISA and UPI),370000.0,0.0,FALGUN,2082
E.,OTHER INCOME,SCT HUB - Real Time Processing (Powered by API),132000.0,0.0,FALGUN,2082
E.,OTHER INCOME,SCT HUB - ATM Monitoring,600000.0,0.0,FALGUN,2082
E.,OTHER INCOME,Cardless Withdrawal,1000000.0,0.0,FALGUN,2082
E.,OTHER INCOME,SMS Gateway Maintenance Charge,120000.0,0.0,FALGUN,2082
E.,OTHER INCOME,Other Income,838269.1790000001,77211.52983333335,FALGUN,2082
A.,CARD SEGMENT,Card Sales,4836000.0,483600.0,CHAITRA,2082
A.,CARD SEGMENT,Free Card Incentive (New Deal),9204000.0,920400.0,CHAITRA,2082
A.,CARD SEGMENT,Card Personalization Fee,3500000.0,350000.0,CHAITRA,2082
A.,CARD SEGMENT,Annual Subscription Fee,10000000.0,833333.3333333334,CHAITRA,2082
A.,CARD SEGMENT,ATM Management Fee,2491813.812,207651.15099999998,CHAITRA,2082
A.,CARD SEGMENT,Card renewal fee,10000000.0,833333.3333333334,CHAITRA,2082
A.,CARD SEGMENT,Transactional Revenue,7497702.446017699,652397.1280079907,CHAITRA,2082
A.,CARD SEGMENT,Incentive from UPI for Free Card,4384000.0,438400.0,CHAITRA,2082
A.,CARD SEGMENT,Transaction Fee Income (VISA - Global),25000000.0,2083333.3333333333,CHAITRA,2082
A.,CARD SEGMENT,Transaction Fee Income (VISA - Prabhu),15000000.0,3000000.0,CHAITRA,2082
A.,CARD SEGMENT,Transaction Fee Income (VISA - Commercial Bank 1),10000000.0,2000000.0,CHAITRA,2082
A.,CARD SEGMENT,Transaction Fee Income (VISA - IME PAY),900000.0,150000.0,CHAITRA,2082
A.,CARD SEGMENT,Net Revenue from Pulse Acquiring,3087879.8204601766,276521.9067901551,CHAITRA,2082
A.,CARD SEGMENT,Net Revenue from Mastercard Acquiring,352750.5066902655,31589.067063059803,CHAITRA,2082
A.,CARD SEGMENT,Visa Acquiring Fees (From SCT Network Membes) - Module Fee,1000000.0,0.0,CHAITRA,2082
A.,CARD SEGMENT,Visa Acquiring Fees (From SCT Network Membes) - Transaction Fee,500000.0,75000.0,CHAITRA,2082
B.,QR SEGMENT,Revenue from P2P Fund Transfer,720000.0,71649.55352165629,CHAITRA,2082
C,SMARTBANKING SEGMENT,Gross Revenue from SmartBanking,32535852.8,8166822.4,CHAITRA,2082
D,SMARTPAY SEGMENT,Gross Revenue from IBFT Project,13600000.0,2040000.0,CHAITRA,2082
E.,OTHER INCOME,Interest Income,1754506.1039999998,438626.52599999995,CHAITRA,2082
E.,OTHER INCOME,Revenue from DMS User Fee,600000.0,70000.0,CHAITRA,2082
E.,OTHER INCOME,PIN Change from POS/Cash Advance POS,1500000.0,375000.0,CHAITRA,2082
E.,OTHER INCOME,API Suite,2000000.0,200000.0,CHAITRA,2082
E.,OTHER INCOME,Merchant POS (VISA and UPI),370000.0,92500.0,CHAITRA,2082
E.,OTHER INCOME,SCT HUB - Real Time Processing (Powered by API),132000.0,33000.0,CHAITRA,2082
E.,OTHER INCOME,SCT HUB - ATM Monitoring,600000.0,150000.0,CHAITRA,2082
E.,OTHER INCOME,Cardless Withdrawal,1000000.0,0.0,CHAITRA,2082
E.,OTHER INCOME,SMS Gateway Maintenance Charge,120000.0,30000.0,CHAITRA,2082
E.,OTHER INCOME,Other Income,838269.1790000001,77211.52983333335,CHAITRA,2082
A.,CARD SEGMENT,Card Sales,4836000.0,483600.0,BAISHAKH,2083
A.,CARD SEGMENT,Free Card Incentive (New Deal),9204000.0,920400.0,BAISHAKH,2083
A.,CARD SEGMENT,Card Personalization Fee,3500000.0,350000.0,BAISHAKH,2083
A.,CARD SEGMENT,Annual Subscription Fee,10000000.0,833333.3333333334,BAISHAKH,2083
A.,CARD SEGMENT,ATM Management Fee,2491813.812,207651.15099999998,BAISHAKH,2083
A.,CARD SEGMENT,Card renewal fee,10000000.0,833333.3333333334,BAISHAKH,2083
A.,CARD SEGMENT,Transactional Revenue,7497702.446017699,658921.0992880706,BAISHAKH,2083
A.,CARD SEGMENT,Incentive from UPI for Free Card,4384000.0,438400.0,BAISHAKH,2083
A.,CARD SEGMENT,Transaction Fee Income (VISA - Global),25000000.0,2083333.3333333333,BAISHAKH,2083
A.,CARD SEGMENT,Transaction Fee Income (VISA - Prabhu),15000000.0,3000000.0,BAISHAKH,2083
A.,CARD SEGMENT,Transaction Fee Income (VISA - Commercial Bank 1),10000000.0,2000000.0,BAISHAKH,2083
A.,CARD SEGMENT,Transaction Fee Income (VISA - IME PAY),900000.0,150000.0,BAISHAKH,2083
A.,CARD SEGMENT,Net Revenue from Pulse Acquiring,3087879.8204601766,290348.0021296629,BAISHAKH,2083
A.,CARD SEGMENT,Net Revenue from Mastercard Acquiring,352750.5066902655,33168.52041621279,BAISHAKH,2083
A.,CARD SEGMENT,Visa Acquiring Fees (From SCT Network Membes) - Module Fee,1000000.0,0.0,BAISHAKH,2083
A.,CARD SEGMENT,Visa Acquiring Fees (From SCT Network Membes) - Transaction Fee,500000.0,99999.99999999999,BAISHAKH,2083
B.,QR SEGMENT,Revenue from P2P Fund Transfer,720000.0,85960.90868173951,BAISHAKH,2083
C,SMARTBANKING SEGMENT,Gross Revenue from SmartBanking,32535852.8,0.0,BAISHAKH,2083
D,SMARTPAY SEGMENT,Gross Revenue from IBFT Project,13600000.0,2720000.0,BAISHAKH,2083
E.,OTHER INCOME,Interest Income,1754506.1039999998,0.0,BAISHAKH,2083
E.,OTHER INCOME,Revenue from DMS User Fee,600000.0,80000.0,BAISHAKH,2083
E.,OTHER INCOME,PIN Change from POS/Cash Advance POS,1500000.0,0.0,BAISHAKH,2083
E.,OTHER INCOME,API Suite,2000000.0,200000.0,BAISHAKH,2083
E.,OTHER INCOME,Merchant POS (VISA and UPI),370000.0,0.0,BAISHAKH,2083
E.,OTHER INCOME,SCT HUB - Real Time Processing (Powered by API),132000.0,0.0,BAISHAKH,2083
E.,OTHER INCOME,SCT HUB - ATM Monitoring,600000.0,0.0,BAISHAKH,2083
E.,OTHER INCOME,Cardless Withdrawal,1000000.0,0.0,BAISHAKH,2083
E.,OTHER INCOME,SMS Gateway Maintenance Charge,120000.0,0.0,BAISHAKH,2083
E.,OTHER INCOME,Other Income,838269.1790000001,77211.52983333335,BAISHAKH,2083
A.,CARD SEGMENT,Card Sales,4836000.0,483600.0,JESTHA,2083
A.,CARD SEGMENT,Free Card Incentive (New Deal),9204000.0,920400.0,JESTHA,2083
A.,CARD SEGMENT,Card Personalization Fee,3500000.0,350000.0,JESTHA,2083
A.,CARD SEGMENT,Annual Subscription Fee,10000000.0,833333.3333333334,JESTHA,2083
A.,CARD SEGMENT,ATM Management Fee,2491813.812,207651.15099999998,JESTHA,2083
A.,CARD SEGMENT,Card renewal fee,10000000.0,833333.3333333334,JESTHA,2083
A.,CARD SEGMENT,Transactional Revenue,7497702.446017699,665510.3102809513,JESTHA,2083
A.,CARD SEGMENT,Incentive from UPI for Free Card,4384000.0,438400.0,JESTHA,2083
A.,CARD SEGMENT,Transaction Fee Income (VISA - Global),25000000.0,2083333.3333333333,JESTHA,2083
A.,CARD SEGMENT,Transaction Fee Income (VISA - Prabhu),15000000.0,3000000.0,JESTHA,2083
A.,CARD SEGMENT,Transaction Fee Income (VISA - Commercial Bank 1),10000000.0,2000000.0,JESTHA,2083
A.,CARD SEGMENT,Transaction Fee Income (VISA - IME PAY),900000.0,150000.0,JESTHA,2083
A.,CARD SEGMENT,Net Revenue from Pulse Acquiring,3087879.8204601766,304865.40223614604,JESTHA,2083
A.,CARD SEGMENT,Net Revenue from Mastercard Acquiring,352750.5066902655,34826.946437023435,JESTHA,2083
A.,CARD SEGMENT,Visa Acquiring Fees (From SCT Network Membes) - Module Fee,1000000.0,0.0,JESTHA,2083
A.,CARD SEGMENT,Visa Acquiring Fees (From SCT Network Membes) - Transaction Fee,500000.0,99999.99999999999,JESTHA,2083
B.,QR SEGMENT,Revenue from P2P Fund Transfer,720000.0,85960.90868173951,JESTHA,2083
C,SMARTBANKING SEGMENT,Gross Revenue from SmartBanking,32535852.8,0.0,JESTHA,2083
D,SMARTPAY SEGMENT,Gross Revenue from IBFT Project,13600000.0,2924000.0,JESTHA,2083
E.,OTHER INCOME,Interest Income,1754506.1039999998,0.0,JESTHA,2083
E.,OTHER INCOME,Revenue from DMS User Fee,600000.0,80000.0,JESTHA,2083
E.,OTHER INCOME,PIN Change from POS/Cash Advance POS,1500000.0,0.0,JESTHA,2083
E.,OTHER INCOME,API Suite,2000000.0,200000.0,JESTHA,2083
E.,OTHER INCOME,Merchant POS (VISA and UPI),370000.0,0.0,JESTHA,2083
E.,OTHER INCOME,SCT HUB - Real Time Processing (Powered by API),132000.0,0.0,JESTHA,2083
E.,OTHER INCOME,SCT HUB - ATM Monitoring,600000.0,0.0,JESTHA,2083
E.,OTHER INCOME,Cardless Withdrawal,1000000.0,0.0,JESTHA,2083
E.,OTHER INCOME,SMS Gateway Maintenance Charge,120000.0,0.0,JESTHA,2083
E.,OTHER INCOME,Other Income,838269.1790000001,77211.52983333335,JESTHA,2083
A.,CARD SEGMENT,Card Sales,4836000.0,483600.0,ASHAD,2083
A.,CARD SEGMENT,Free Card Incentive (New Deal),9204000.0,920400.0,ASHAD,2083
A.,CARD SEGMENT,Card Personalization Fee,3500000.0,350000.0,ASHAD,2083
A.,CARD SEGMENT,Annual Subscription Fee,10000000.0,833333.3333333334,ASHAD,2083
A.,CARD SEGMENT,ATM Management Fee,2491813.812,207651.15099999998,ASHAD,2083
A.,CARD SEGMENT,Card renewal fee,10000000.0,833333.3333333334,ASHAD,2083
A.,CARD SEGMENT,Transactional Revenue,7497702.446017699,694432.8053560462,ASHAD,2083
A.,CARD SEGMENT,Incentive from UPI for Free Card,4384000.0,438400.0,ASHAD,2083
A.,CARD SEGMENT,Transaction Fee Income (VISA - Global),25000000.0,2083333.3333333333,ASHAD,2083
A.,CARD SEGMENT,Transaction Fee Income (VISA - Prabhu),15000000.0,3000000.0,ASHAD,2083
A.,CARD SEGMENT,Transaction Fee Income (VISA - Commercial Bank 1),10000000.0,2000000.0,ASHAD,2083
A.,CARD SEGMENT,Transaction Fee Income (VISA - IME PAY),900000.0,150000.0,ASHAD,2083
A.,CARD SEGMENT,Net Revenue from Pulse Acquiring,3087879.8204601766,371434.0369781614,ASHAD,2083
A.,CARD SEGMENT,Net Revenue from Mastercard Acquiring,352750.5066902655,42431.55574834882,ASHAD,2083
A.,CARD SEGMENT,Visa Acquiring Fees (From SCT Network Membes) - Module Fee,1000000.0,500000.0,ASHAD,2083
A.,CARD SEGMENT,Visa Acquiring Fees (From SCT Network Membes) - Transaction Fee,500000.0,108333.33333333333,ASHAD,2083
B.,QR SEGMENT,Revenue from P2P Fund Transfer,720000.0,85960.90868173951,ASHAD,2083
C,SMARTBANKING SEGMENT,Gross Revenue from SmartBanking,32535852.8,8166822.4,ASHAD,2083
D,SMARTPAY SEGMENT,Gross Revenue from IBFT Project,13600000.0,2924000.0,ASHAD,2083
E.,OTHER INCOME,Interest Income,1754506.1039999998,438626.52599999995,ASHAD,2083
E.,OTHER INCOME,Revenue from DMS User Fee,600000.0,80000.0,ASHAD,2083
E.,OTHER INCOME,PIN Change from POS/Cash Advance POS,1500000.0,375000.0,ASHAD,2083
E.,OTHER INCOME,API Suite,2000000.0,200000.0,ASHAD,2083
E.,OTHER INCOME,Merchant POS (VISA and UPI),370000.0,92500.0,ASHAD,2083
E.,OTHER INCOME,SCT HUB - Real Time Processing (Powered by API),132000.0,33000.0,ASHAD,2083
E.,OTHER INCOME,SCT HUB - ATM Monitoring,600000.0,150000.0,ASHAD,2083
E.,OTHER INCOME,Cardless Withdrawal,1000000.0,500000.0,ASHAD,2083
E.,OTHER INCOME,SMS Gateway Maintenance Charge,120000.0,30000.0,ASHAD,2083
E.,OTHER INCOME,Other Income,838269.1790000001,77211.52983333335,ASHAD,2083
